日期,净值,今年以来,总资产,资产变动,总份数,增加份额,备注
2019-12-31,1.3704,0.00%,"¥20,390,300.15",¥0.00,"14,878,825.7430",0.0000,
2020-01-02,1.3738,0.25%,"¥20,441,029.33",¥0.00,"14,878,825.7430",0.0000,
2020-01-03,1.3565,-1.02%,"¥20,182,643.69",¥0.00,"14,878,825.7430",0.0000,
2020-01-06,1.3510,-1.42%,"¥20,101,203.59",¥0.00,"14,878,825.7430",0.0000,
2020-01-07,1.3648,-0.41%,"¥20,307,030.98",¥0.00,"14,878,825.7430",0.0000,
2020-01-08,1.3665,-0.29%,"¥20,331,971.46",¥0.00,"14,878,825.7430",0.0000,
2020-01-09,1.3900,1.43%,"¥20,681,379.79",¥0.00,"14,878,825.7430",0.0000,
2020-01-10,1.3976,1.98%,"¥20,794,603.40",¥0.00,"14,878,825.7430",0.0000,
2020-01-12,1.3976,1.98%,"¥20,915,401.65","¥120,798.25","14,965,258.5581","86,432.8152",赵娜萍入金135500港元
2020-01-13,1.4036,2.42%,"¥21,005,654.49",¥0.00,"14,965,258.5581",0.0000,
2020-01-14,1.3939,1.71%,"¥20,860,461.38",¥0.00,"14,965,258.5581",0.0000,
2020-01-15,1.3900,1.43%,"¥20,801,143.34",¥0.00,"14,965,258.5581",0.0000,
2020-01-16,1.3799,0.69%,"¥20,650,047.84",¥0.00,"14,965,258.5581",0.0000,
2020-01-17,1.3794,0.65%,"¥20,642,849.47",¥0.00,"14,965,258.5581",0.0000,
2020-01-20,1.3730,0.19%,"¥20,547,681.00",¥0.00,"14,965,258.5581",0.0000,
2020-01-21,1.3458,-1.79%,"¥20,140,758.67",¥0.00,"14,965,258.5581",0.0000,
2020-01-22,1.3555,-1.09%,"¥20,285,311.39",¥0.00,"14,965,258.5581",0.0000,
2020-01-23,1.3204,-3.65%,"¥19,759,760.75",¥0.00,"14,965,258.5581",0.0000,
2020-01-31,1.3159,-3.98%,"¥19,692,708.71",¥0.00,"14,965,258.5581",0.0000,
2020-02-03,1.2505,-8.75%,"¥18,713,394.48",¥0.00,"14,965,258.5581",0.0000,
2020-02-04,1.2824,-6.42%,"¥19,191,700.33",¥0.00,"14,965,258.5581",0.0000,
2020-02-05,1.3015,-5.03%,"¥19,477,297.75",¥0.00,"14,965,258.5581",0.0000,
