日期,净值,今年以来,总资产,资产变动,总份数,增加份额,备注
2021-02-02,2.1546,4.86%,"¥28,041,286.90",¥0.00,"13,014,826.9780",0.0000,
2021-02-03,2.1512,4.70%,"¥27,997,401.59",¥0.00,"13,014,826.9780",0.0000,
2021-02-04,2.1652,5.38%,"¥28,179,266.58",¥0.00,"13,014,826.9780",0.0000,
2021-02-05,2.1846,6.32%,"¥28,432,791.13",¥0.00,"13,014,826.9780",0.0000,
2021-02-08,2.2043,7.28%,"¥28,688,206.57",¥0.00,"13,014,826.9780",0.0000,
2021-02-09,2.2291,8.49%,"¥29,011,204.41",¥0.00,"13,014,826.9780",0.0000,
2021-02-10,2.2784,10.89%,"¥29,653,236.71",¥0.00,"13,014,826.9780",0.0000,
2021-02-16,2.2869,11.30%,"¥29,764,063.36",¥0.00,"13,014,826.9780",0.0000,
2021-02-17,2.2944,11.66%,"¥29,860,583.90",¥0.00,"13,014,826.9780",0.0000,
2021-02-18,2.2664,10.30%,"¥29,496,211.63",¥0.00,"13,014,826.9780",0.0000,
2021-02-19,2.2713,10.54%,"¥29,560,307.65",¥0.00,"13,014,826.9780",0.0000,
2021-02-22,2.2090,7.51%,"¥28,749,675.82",¥0.00,"13,014,826.9780",0.0000,
2021-02-23,2.2069,7.41%,"¥28,722,460.36",¥0.00,"13,014,826.9780",0.0000,
2021-02-24,2.1731,5.76%,"¥28,282,124.54",¥0.00,"13,014,826.9780",0.0000,
2021-02-25,2.1891,6.54%,"¥28,490,652.87",¥0.00,"13,014,826.9780",0.0000,
2021-02-26,2.1393,4.12%,"¥27,842,728.29",¥0.00,"13,014,826.9780",0.0000,
2021-02-27,2.1393,4.12%,"¥27,862,728.29","¥20,000.00","13,024,175.7939","9,348.8159",
2021-03-01,2.1626,5.25%,"¥28,165,792.13",¥0.00,"13,024,175.7939",0.0000,
2021-03-02,2.1449,4.39%,"¥27,935,370.65",¥0.00,"13,024,175.7939",0.0000,
2021-03-03,2.1768,5.94%,"¥28,351,168.86",¥0.00,"13,024,175.7939",0.0000,
2021-03-04,2.1325,3.79%,"¥27,774,131.72",¥0.00,"13,024,175.7939",0.0000,
2021-03-05,2.1298,3.65%,"¥27,739,026.10",¥0.00,"13,024,175.7939",0.0000,
2021-03-08,2.0824,1.35%,"¥27,121,294.48",¥0.00,"13,024,175.7939",0.0000,
2021-03-09,2.0598,0.25%,"¥26,846,503.97","¥20,000.00","13,033,780.1849","9,604.3910",
2021-03-10,2.0881,1.63%,"¥27,215,981.50",¥0.00,"13,033,780.1849",0.0000,
2021-03-11,2.1120,2.79%,"¥27,527,433.53",¥0.00,"13,033,780.1849",0.0000,
2021-03-12,2.1152,2.94%,"¥27,568,715.28",¥0.00,"13,033,780.1849",0.0000,
2021-03-15,2.0931,1.87%,"¥27,280,416.45",¥0.00,"13,033,780.1849",0.0000,
2021-03-16,2.1205,3.20%,"¥27,637,526.20",¥0.00,"13,033,780.1849",0.0000,
2021-03-17,2.1258,3.46%,"¥27,707,788.29",¥0.00,"13,033,780.1849",0.0000,
2021-03-18,2.1496,4.62%,"¥28,017,026.74",¥0.00,"13,033,780.1849",0.0000,
2021-03-19,2.1047,2.43%,"¥27,431,749.17",¥0.00,"13,033,780.1849",0.0000,
2021-03-22,2.1181,3.08%,"¥27,606,777.83",¥0.00,"13,033,780.1849",0.0000,
2021-03-23,2.1085,2.62%,"¥27,481,746.55",¥0.00,"13,033,780.1849",0.0000,
2021-03-24,2.0861,1.53%,"¥27,189,297.52",¥0.00,"13,033,780.1849",0.0000,
2021-03-25,2.0805,1.26%,"¥27,117,402.99",¥0.00,"13,033,780.1849",0.0000,
2021-03-26,2.1071,2.55%,"¥27,463,723.80",¥0.00,"13,033,780.1849",0.0000,
2021-03-29,2.1111,2.74%,"¥27,515,219.51",¥0.00,"13,033,780.1849",0.0000,
2021-03-30,2.1271,3.52%,"¥27,724,202.65",¥0.00,"13,033,780.1849",0.0000,
2021-03-31,2.1133,2.85%,"¥27,544,306.21",¥0.00,"13,033,780.1849",0.0000,
2021-04-01,2.1426,4.28%,"¥27,926,249.81",¥0.00,"13,033,780.1849",0.0000,
2021-04-02,2.1556,4.91%,"¥28,096,094.11",¥0.00,"13,033,780.1849",0.0000,
2021-04-06,2.1391,4.11%,"¥27,881,006.32",¥0.00,"13,033,780.1849",0.0000,
2021-04-07,2.1199,3.17%,"¥27,629,704.29",¥0.00,"13,033,780.1849",0.0000,
2021-04-08,2.1317,3.74%,"¥27,783,702.71",¥0.00,"13,033,780.1849",0.0000,
2021-04-09,2.1151,2.94%,"¥27,766,188.53","¥200,000.00","13,127,603.3899","93,823.2051",宋钱入金
2021-04-12,2.0995,2.18%,"¥27,561,534.57",¥0.00,"13,127,603.3899",0.0000,
2021-04-13,2.0889,1.66%,"¥27,421,924.36",¥0.00,"13,127,603.3899",0.0000,
2021-04-14,2.1055,2.47%,"¥27,640,140.31",¥0.00,"13,127,603.3899",0.0000,
2021-04-15,2.0944,1.93%,"¥27,495,046.34",¥0.00,"13,127,603.3899",0.0000,
2021-04-16,2.1235,3.35%,"¥27,876,366.53",¥0.00,"13,127,603.3899",0.0000,
2021-04-17,2.1236,3.35%,"¥27,957,873.10","¥80,000.00","13,165,277.1761","37,673.7861",老爸老妈入金
2021-04-19,2.1512,4.70%,"¥28,321,685.97",¥0.00,"13,165,277.1761",0.0000,
2021-04-20,2.1526,4.76%,"¥28,339,872.68",¥0.00,"13,165,277.1761",0.0000,
2021-04-21,2.1495,4.61%,"¥28,298,491.39",¥0.00,"13,165,277.1761",0.0000,
2021-04-22,2.1626,5.25%,"¥28,471,319.22",¥0.00,"13,165,277.1761",0.0000,
2021-04-23,2.1793,6.06%,"¥28,691,295.16",¥0.00,"13,165,277.1761",0.0000,
2021-04-26,2.1748,5.84%,"¥28,631,468.52",¥0.00,"13,165,277.1761",0.0000,
2021-04-27,2.1761,5.91%,"¥28,649,464.15",¥0.00,"13,165,277.1761",0.0000,
2021-04-28,2.1761,5.91%,"¥27,899,464.15","-¥750,000.00","12,820,629.9663","-344,647.2098",梦云赎回75万
2021-04-29,2.2218,8.13%,"¥28,484,619.66",¥0.00,"12,820,629.9663",0.0000,
2021-04-30,2.2117,7.64%,"¥28,355,232.47",¥0.00,"12,820,629.9663",0.0000,
2021-05-03,2.2114,7.63%,"¥28,351,985.13",¥0.00,"12,820,629.9663",0.0000,
2021-05-04,2.2111,7.61%,"¥28,347,436.72",¥0.00,"12,820,629.9663",0.0000,
2021-05-05,2.2103,7.57%,"¥28,336,898.69",¥0.00,"12,820,629.9663",0.0000,
2021-05-06,2.1899,6.58%,"¥28,075,916.73",¥0.00,"12,820,629.9663",0.0000,
2021-05-07,2.1788,6.04%,"¥27,933,237.76",¥0.00,"12,820,629.9663",0.0000,0.8320
2021-05-08,2.1788,6.04%,"¥28,363,381.76","¥430,144.00","13,018,054.8800","197,424.9138",赵娜萍入金
2021-05-10,2.1696,5.59%,"¥28,244,480.85",¥0.00,"13,018,054.8800",0.0000,
2021-05-11,2.1647,5.35%,"¥28,300,202.04","¥120,000.00","13,073,363.6178","55,308.7378",老爸老妈入金
2021-05-12,2.1740,5.81%,"¥28,422,013.06",¥0.00,"13,073,363.6178",0.0000,
2021-05-13,2.1539,4.83%,"¥28,158,238.13",¥0.00,"13,073,363.6178",0.0000,
2021-05-14,2.1976,6.95%,"¥28,730,003.20",¥0.00,"13,073,363.6178",0.0000,
2021-05-15,2.2002,7.08%,"¥28,764,101.51",¥0.00,"13,073,363.6178",0.0000,
2021-05-17,2.1971,6.93%,"¥28,723,395.08",¥0.00,"13,073,363.6178",0.0000,
2021-05-18,2.2014,7.14%,"¥28,779,923.42",¥0.00,"13,073,363.6178",0.0000,
2021-05-19,2.1842,6.30%,"¥28,554,640.60",¥0.00,"13,073,363.6178",0.0000,
2021-05-20,2.2018,7.16%,"¥28,784,953.36",¥0.00,"13,073,363.6178",0.0000,
2021-05-21,2.2074,7.43%,"¥28,857,761.15",¥0.00,"13,073,363.6178",0.0000,
2021-05-24,2.2264,8.35%,"¥29,106,100.91",¥0.00,"13,073,363.6178",0.0000,
2021-05-25,2.2780,10.87%,"¥29,781,296.30",¥0.00,"13,073,363.6178",0.0000,
2021-05-26,2.2846,11.19%,"¥29,868,043.28",¥0.00,"13,073,363.6178",0.0000,
2021-05-27,2.2982,11.85%,"¥30,044,940.33",¥0.00,"13,073,363.6178",0.0000,
2021-05-28,2.2934,11.62%,"¥29,982,927.62",¥0.00,"13,073,363.6178",0.0000,
2021-05-31,2.2992,11.90%,"¥30,058,821.31",¥0.00,"13,073,363.6178",0.0000,
2021-06-01,2.3284,13.32%,"¥30,439,743.55",¥0.00,"13,073,363.6178",0.0000,
2021-06-02,2.2990,11.89%,"¥30,056,008.42",¥0.00,"13,073,363.6178",0.0000,
2021-06-03,2.2875,11.33%,"¥29,905,219.01",¥0.00,"13,073,363.6178",0.0000,
2021-06-04,2.3032,12.09%,"¥30,110,240.03",¥0.00,"13,073,363.6178",0.0000,
2021-06-07,2.2984,11.86%,"¥30,048,088.61",¥0.00,"13,073,363.6178",0.0000,
2021-06-08,2.2642,10.20%,"¥29,601,103.45",¥0.00,"13,073,363.6178",0.0000,
2021-06-09,2.2802,10.98%,"¥29,810,444.56",¥0.00,"13,073,363.6178",0.0000,
2021-06-10,2.2920,11.55%,"¥29,964,250.36",¥0.00,"13,073,363.6178",0.0000,
2021-06-11,2.2489,9.45%,"¥29,400,227.22",¥0.00,"13,073,363.6178",0.0000,
2021-06-15,2.2299,8.52%,"¥29,151,698.61",¥0.00,"13,073,363.6178",0.0000,
2021-06-16,2.2163,7.86%,"¥28,973,998.63",¥0.00,"13,073,363.6178",0.0000,
2021-06-17,2.2170,7.90%,"¥28,983,071.60",¥0.00,"13,073,363.6178",0.0000,
2021-06-18,2.2038,7.26%,"¥28,811,684.81",¥0.00,"13,073,363.6178",0.0000,
2021-06-21,2.1836,6.27%,"¥23,436,492.19","-¥5,158,146.23","10,732,843.7314","-2,340,519.8864",
2021-06-22,2.1850,6.34%,"¥23,451,373.60",¥0.00,"10,732,843.7314",0.0000,
2021-06-23,2.1905,6.61%,"¥23,510,523.27",¥0.00,"10,732,843.7314",0.0000,
2021-06-25,2.2521,9.61%,"¥24,171,539.37",¥0.00,"10,732,843.7314",0.0000,
2021-06-28,2.1948,6.82%,"¥23,556,207.68",¥0.00,"10,732,843.7314",0.0000,有误
2021-06-29,2.2234,8.21%,"¥23,863,665.87",¥0.00,"10,732,843.7314",0.0000,
2021-06-30,2.2269,8.38%,"¥23,901,013.34",¥0.00,"10,732,843.7314",0.0000,
2021-07-01,2.2321,8.63%,"¥23,957,021.63",¥0.00,"10,732,843.7314",0.0000,
2021-07-03,2.1879,6.48%,"¥23,482,748.29",¥0.00,"10,732,843.7314",0.0000,
2021-07-05,2.1647,5.35%,"¥23,233,173.59",¥0.00,"10,732,843.7314",0.0000,
2021-07-06,2.1837,6.28%,"¥23,437,256.48",¥0.00,"10,732,843.7314",0.0000,
2021-07-07,2.1754,5.87%,"¥23,347,694.44",¥0.00,"10,732,843.7314",0.0000,
2021-07-08,2.1344,3.88%,"¥22,908,527.44",¥0.00,"10,732,843.7314",0.0000,
2021-07-09,2.1263,3.48%,"¥22,820,818.83",¥0.00,"10,732,843.7314",0.0000,
2021-07-12,2.1449,4.39%,"¥23,020,868.60",¥0.00,"10,732,843.7314",0.0000,
2021-07-13,2.1744,5.82%,"¥23,337,274.21",¥0.00,"10,732,843.7314",0.0000,
2021-07-14,2.1689,5.56%,"¥23,278,708.23",¥0.00,"10,732,843.7314",0.0000,
2021-07-15,2.1902,6.59%,"¥23,507,286.05",¥0.00,"10,732,843.7314",0.0000,
2021-07-16,2.2020,7.17%,"¥23,634,068.09",¥0.00,"10,732,843.7314",0.0000,
2021-07-19,2.1954,6.85%,"¥23,562,757.11",¥0.00,"10,732,843.7314",0.0000,
2021-07-20,2.1875,6.46%,"¥23,478,564.30",¥0.00,"10,732,843.7314",0.0000,
2021-07-21,2.1893,6.55%,"¥23,497,632.68",¥0.00,"10,732,843.7314",0.0000,
2021-07-22,2.1909,6.63%,"¥23,514,760.38",¥0.00,"10,732,843.7314",0.0000,
2021-07-23,2.1645,5.34%,"¥23,290,996.62","¥60,000.00","10,760,229.5356","27,385.8042",
2021-07-26,2.0741,0.94%,"¥22,317,593.36",¥0.00,"10,760,229.5356",0.0000,
2021-07-27,1.9848,-3.40%,"¥21,357,007.01",¥0.00,"10,760,229.5356",0.0000,
2021-07-28,1.9968,-2.82%,"¥21,486,355.27",¥0.00,"10,760,229.5356",0.0000,
2021-07-29,2.0603,0.27%,"¥22,169,202.89",¥0.00,"10,760,229.5356",0.0000,
2021-07-30,2.0061,-2.37%,"¥21,585,953.22",¥0.00,"10,760,229.5356",0.0000,
2021-08-02,2.0437,-0.54%,"¥22,040,221.28","¥49,023.10","10,784,666.7149","24,437.1793",
2021-08-03,2.0111,-2.12%,"¥21,689,494.84",¥0.00,"10,784,666.7149",0.0000,
2021-08-04,2.0219,-1.60%,"¥21,805,092.47",¥0.00,"10,784,666.7149",0.0000,
2021-08-05,1.9854,-3.37%,"¥21,412,096.03",¥0.00,"10,784,666.7149",0.0000,
2021-08-06,1.9962,-2.85%,"¥21,528,311.06",¥0.00,"10,784,666.7149",0.0000,
2021-08-09,2.0290,-1.25%,"¥21,882,445.70",¥0.00,"10,784,666.7149",0.0000,
2021-08-10,2.0978,2.10%,"¥22,623,858.77",¥0.00,"10,784,666.7149",0.0000,
2021-08-11,2.0776,1.11%,"¥22,406,423.98",¥0.00,"10,784,666.7149",0.0000,
2021-08-12,2.0548,0.00%,"¥22,160,116.76",¥0.00,"10,784,666.7149",0.0000,
2021-08-13,2.0361,-0.90%,"¥21,959,112.76",¥0.00,"10,784,666.7149",0.0000,
2021-08-16,2.0186,-1.76%,"¥21,770,410.18",¥0.00,"10,784,666.7149",0.0000,
2021-08-17,1.9597,-4.63%,"¥21,134,207.19",¥0.00,"10,784,666.7149",0.0000,
2021-08-18,1.9795,-3.66%,"¥21,348,648.69",¥0.00,"10,784,666.7149",0.0000,
2021-08-19,1.9468,-5.25%,"¥20,995,223.41",¥0.00,"10,784,666.7149",0.0000,
2021-08-20,1.9137,-6.86%,"¥20,639,142.88",¥0.00,"10,784,666.7149",0.0000,
2021-08-23,1.9698,-4.13%,"¥21,243,317.60",¥0.00,"10,784,666.7149",0.0000,
2021-08-24,2.0450,-0.47%,"¥22,283,089.12","¥220,000.00","10,896,354.8571","111,688.1422",
2021-08-25,2.0649,0.49%,"¥22,545,734.32","¥45,776.00","10,918,739.1656","22,384.3084",
2021-08-26,2.0224,-1.57%,"¥22,082,490.69",¥0.00,"10,918,739.1656",0.0000,
2021-08-27,2.0058,-2.38%,"¥21,900,927.64",¥0.00,"10,918,739.1656",0.0000,
2021-08-30,1.9867,-3.31%,"¥21,692,218.44",¥0.00,"10,918,739.1656",0.0000,
2021-08-31,2.0041,-2.46%,"¥21,882,757.35",¥0.00,"10,918,739.1656",0.0000,
2021-09-01,2.0432,-0.56%,"¥22,309,231.13",¥0.00,"10,918,739.1656",0.0000,
2021-09-02,2.0474,-0.36%,"¥22,354,502.54",¥0.00,"10,918,739.1656",0.0000,
2021-09-03,2.0370,-0.86%,"¥22,241,413.09",¥0.00,"10,918,739.1656",0.0000,
2021-09-06,2.0774,1.10%,"¥22,682,074.39",¥0.00,"10,918,739.1656",0.0000,
2021-09-07,2.1015,2.28%,"¥22,946,187.86",¥0.00,"10,918,739.1656",0.0000,
2021-09-08,2.0961,2.01%,"¥22,887,023.53",¥0.00,"10,918,739.1656",0.0000,
2021-09-09,2.0307,-1.17%,"¥22,172,605.84",¥0.00,"10,918,739.1656",0.0000,
2021-09-10,2.0687,0.68%,"¥22,587,431.46",¥0.00,"10,918,739.1656",0.0000,
2021-09-13,2.0493,-0.26%,"¥22,375,614.34",¥0.00,"10,918,739.1656",0.0000,
2021-09-14,2.0290,-1.25%,"¥22,153,590.44",¥0.00,"10,918,739.1656",0.0000,
2021-09-15,1.9792,-3.68%,"¥21,610,320.52",¥0.00,"10,918,739.1656",0.0000,
2021-09-16,1.9843,-3.43%,"¥21,665,557.28",¥0.00,"10,918,739.1656",0.0000,
2021-09-17,2.0208,-1.65%,"¥22,064,195.67",¥0.00,"10,918,739.1656",0.0000,
2021-09-22,1.9733,-3.96%,"¥21,545,811.14",¥0.00,"10,918,739.1656",0.0000,
2021-09-23,1.9766,-3.80%,"¥21,581,912.34",¥0.00,"10,918,739.1656",0.0000,
2021-09-24,1.9812,-3.58%,"¥21,631,993.69",¥0.00,"10,918,739.1656",0.0000,
2021-09-27,2.0443,-0.51%,"¥22,320,901.90",¥0.00,"10,918,739.1656",0.0000,
2021-09-28,2.0339,-1.01%,"¥22,207,750.42",¥0.00,"10,918,739.1656",0.0000,
2021-09-29,2.0265,-1.37%,"¥22,126,854.59",¥0.00,"10,918,739.1656",0.0000,
2021-09-30,2.0225,-1.57%,"¥22,083,657.59",¥0.00,"10,918,739.1656",0.0000,
2021-10-08,2.0822,1.34%,"¥22,734,799.59",¥0.00,"10,918,739.1656",0.0000,
2021-10-09,2.0833,1.39%,"¥22,764,120.01","¥16,564.00","10,926,694.2828","7,955.1172",
2021-10-11,2.1203,3.19%,"¥23,168,148.67",¥0.00,"10,926,694.2828",0.0000,
2021-10-12,2.1043,2.41%,"¥22,992,585.02",¥0.00,"10,926,694.2828",0.0000,
2021-10-13,2.1304,3.68%,"¥23,278,479.28",¥0.00,"10,926,694.2828",0.0000,
2021-10-14,2.1235,3.35%,"¥23,202,428.85",¥0.00,"10,926,694.2828",0.0000,
2021-10-15,2.1417,4.23%,"¥23,401,948.00",¥0.00,"10,926,694.2828",0.0000,
2021-10-18,2.0860,1.52%,"¥22,793,048.00",¥0.00,"10,926,694.2828",0.0000,
2021-10-19,2.1103,2.71%,"¥23,058,806.00",¥0.00,"10,926,694.2828",0.0000,
2021-10-20,2.1272,3.53%,"¥23,243,526.00",¥0.00,"10,926,694.2828",0.0000,
2021-10-21,2.1274,3.54%,"¥23,245,561.00",¥0.00,"10,926,694.2828",0.0000,
2021-10-22,2.1550,4.88%,"¥23,546,809.00",¥0.00,"10,926,694.2828",0.0000,
2021-10-25,2.1333,3.83%,"¥23,310,350.00",¥0.00,"10,926,694.2828",0.0000,
2021-10-26,2.1285,3.59%,"¥23,257,889.46",¥0.00,"10,926,694.2828",0.0000,
2021-10-27,2.0778,1.12%,"¥22,703,267.00",¥0.00,"10,926,694.2828",0.0000,
2021-10-28,2.0924,1.84%,"¥22,863,310.54",¥0.00,"10,926,694.2828",0.0000,
2021-10-29,2.0902,1.73%,"¥22,962,117.04","¥123,390.00","10,985,664.0809","58,969.7981",
2021-11-01,2.0689,0.69%,"¥22,727,964.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-02,2.0491,-0.27%,"¥22,510,457.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-03,2.0392,-0.76%,"¥22,401,946.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-04,2.0948,1.95%,"¥23,012,517.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-05,2.0675,0.62%,"¥22,713,168.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-08,2.0556,0.04%,"¥22,581,752.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-09,2.0440,-0.52%,"¥22,454,630.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-10,2.0526,-0.10%,"¥22,549,065.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-11,2.0586,0.19%,"¥22,615,174.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-12,2.0616,0.33%,"¥22,647,898.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-15,2.0787,1.17%,"¥22,836,110.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-16,2.1050,2.45%,"¥23,124,878.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-17,2.1024,2.32%,"¥23,096,588.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-18,2.0739,0.93%,"¥22,783,027.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-19,2.0851,1.48%,"¥22,906,718.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-22,2.0921,1.82%,"¥22,983,493.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-23,2.0660,0.55%,"¥22,696,356.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-24,2.0711,0.80%,"¥22,752,031.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-25,2.0789,1.18%,"¥22,838,204.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-26,2.0460,-0.43%,"¥22,476,282.00",¥0.00,"10,985,664.0809",0.0000,
2021-11-29,2.0479,-0.33%,"¥22,497,847.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-01,2.0410,-0.67%,"¥22,422,143.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-02,2.0483,-0.31%,"¥22,501,483.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-03,2.0441,-0.52%,"¥22,455,344.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-06,2.0197,-1.70%,"¥22,188,268.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-07,2.0462,-0.42%,"¥22,478,541.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-08,2.0965,2.03%,"¥23,031,717.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-09,2.1394,4.12%,"¥23,502,395.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-10,2.1293,3.63%,"¥23,392,118.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-13,2.1561,4.93%,"¥23,685,675.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-14,2.1338,3.85%,"¥23,440,793.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-15,2.1051,2.45%,"¥23,125,964.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-16,2.1045,2.42%,"¥23,119,344.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-17,2.0480,-0.33%,"¥22,498,495.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-20,2.0274,-1.33%,"¥22,272,476.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-21,2.0446,-0.49%,"¥22,461,809.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-22,2.0485,-0.30%,"¥22,504,020.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-23,2.0956,1.99%,"¥23,021,231.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-24,2.1118,2.78%,"¥23,198,987.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-27,2.1001,2.21%,"¥23,070,503.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-28,2.1010,2.25%,"¥23,080,870.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-29,2.0478,-0.34%,"¥22,496,460.00",¥0.00,"10,985,664.0809",0.0000,
2021-12-31,2.0735,0.92%,"¥22,779,193.97",¥0.00,"10,985,664.0809",0.0000,
