日期,净值,今年以来,总资产,资产变动,总份数,增加份额,备注
2020-12-31,2.0547,0.00%,"¥25,929,945.12",¥0.00,"12,619,692.3596",0.0000,
2021-01-04,2.0754,1.01%,"¥26,191,328.89",¥0.00,"12,619,692.3596",0.0000,
2021-01-05,2.1194,3.15%,"¥26,745,682.29",¥0.00,"12,619,692.3596",0.0000,
2021-01-06,2.1315,3.73%,"¥26,898,249.11",¥0.00,"12,619,692.3596",0.0000,
2021-01-07,2.1494,4.61%,"¥27,125,267.52",¥0.00,"12,619,692.3596",0.0000,
2021-01-08,2.1330,3.81%,"¥26,918,133.03",¥0.00,"12,619,692.3596",0.0000,
2021-01-11,2.1321,3.77%,"¥26,906,239.78",¥0.00,"12,619,692.3596",0.0000,
2021-01-12,2.1518,4.73%,"¥27,155,243.55",¥0.00,"12,619,692.3596",0.0000,
2021-01-13,2.1294,3.63%,"¥26,871,991.89",¥0.00,"12,619,692.3596",0.0000,
2021-01-14,2.1092,2.65%,"¥26,617,661.84",¥0.00,"12,619,692.3596",0.0000,
2021-01-15,2.1127,2.82%,"¥26,661,595.03",¥0.00,"12,619,692.3596",0.0000,
2021-01-16,2.1127,2.82%,"¥27,496,395.03","¥834,800.00","13,014,826.9780","395,134.6185",入金100万港币
2021-01-18,2.1236,3.35%,"¥27,638,373.74",¥0.00,"13,014,826.9780",0.0000,
2021-01-19,2.1081,2.60%,"¥27,436,442.77",¥0.00,"13,014,826.9780",0.0000,
2021-01-20,2.1175,3.05%,"¥27,558,262.82",¥0.00,"13,014,826.9780",0.0000,
2021-01-21,2.1343,3.87%,"¥27,777,477.22",¥0.00,"13,014,826.9780",0.0000,
2021-01-22,2.1357,3.94%,"¥27,795,549.15",¥0.00,"13,014,826.9780",0.0000,
2021-01-25,2.2026,7.20%,"¥28,666,097.08",¥0.00,"13,014,826.9780",0.0000,
2021-01-26,2.1722,5.72%,"¥28,270,923.02",¥0.00,"13,014,826.9780",0.0000,
2021-01-27,2.1541,4.84%,"¥28,035,239.02",¥0.00,"13,014,826.9780",0.0000,
2021-01-28,2.1188,3.12%,"¥27,576,004.80",¥0.00,"13,014,826.9780",0.0000,
2021-01-29,2.1157,2.97%,"¥27,535,212.37",¥0.00,"13,014,826.9780",0.0000,
2021-02-01,2.1247,3.40%,"¥27,652,309.02",¥0.00,"13,014,826.9780",0.0000,
